State,name
NY,New York
MD,Maryland
GA,Georgia
ME,Maine
TX,Texas
LA,Louisiana
ND,North Dakota
ID,Idaho
MA,Massachusetts
NV,Nevada
WV,West Virginia
WY,Wyoming
SC,South Carolina
OH,Ohio
NH,New Hampshire
CO,Colorado
IA,Iowa
DE,Delaware
KY,Kentucky
PA,Pennsylvania
CT,Connecticut
MT,Montana
HI,Hawaii
IN,Indiana
MS,Mississippi
MO,Missouri
AK,Alaska
MI,Michigan
NE,Nebraska
AR,Arkansas
WI,Wisconsin
AL,Alabama
VT,Vermont
TN,Tennessee
OK,Oklahoma
WA,Washington
AZ,Arizona
SD,South Dakota
RI,Rhode Island
NC,North Carolina
VA,Virginia
CA,California
MN,Minnesota
OR,Oregon
UT,Utah
NM,New Mexico
IL,Illinois
FL,Florida
KS,Kansas
NJ,New Jersey
DC,District of Columbia
